variant,soh_rmse,phys,train_s
Physics OFF (no t),0.0332,0.8994,1.0454
Route A · uncertainty-wt,0.0361,0.8949,1.3821
Route A · double-exp,0.0362,0.901,255.3807
Route A · logistic,0.0363,0.9026,13.4515
Route B · ODE-residual,0.0401,0.9073,2.7185
Physics OFF + t-channel,0.0437,0.8911,2.4466
